system,acc,recall_macro,precision_stroma,recall_stroma,f2_stroma,precision_epithelium,recall_epithelium,f2_epithelium,recall_stroma_epithelium_vs_rest,f2_stroma_epithelium_vs_rest
Baseline ResNet50,0.9238161559888579,0.8981196926576095,0.9123505976095617,0.5439429928741093,0.5917312661498708,0.9363707776904949,0.9667477696674777,0.9605157131345688,0.8887545344619106,0.902948402948403
Basemodel,0.9057103064066853,0.8885866854282916,0.9087136929460581,0.5201900237529691,0.5688311688311688,0.869472182596291,0.9886455798864558,0.9622671297758131,0.9159613059250302,0.9171812568107519
Cancer-Expert,0.9259052924791087,0.929532854255824,0.828752642706131,0.9311163895486936,0.9086694483078349,0.926605504587156,0.9829683698296837,0.9711538461538461,0.9800483675937122,0.9652256758366083
